Timestamp_MS,Channel,Frame_Size_Bytes,RSSI_dBm,MAC_Address
3598614,1,356,-72,3C:46:A1:6D:9B:B3
3598614,1,356,-78,3C:46:A1:70:A0:B3
3598624,1,356,-81,3C:46:A1:6E:08:B3
3598644,1,356,-79,3C:46:A1:6D:96:A3
3598674,1,119,-79,08:65:F0:DA:4D:63
3598694,1,356,-80,3C:46:A1:6D:8B:33
3598704,1,340,-72,3C:46:A1:6D:8B:F2
3598704,1,356,-72,3C:46:A1:6D:8B:F3
3598704,1,364,-71,3C:46:A1:6D:8B:F4
3598714,1,340,-71,3C:46:A1:6D:9B:B2
3598724,1,356,-71,3C:46:A1:6D:9B:B3
3598724,1,364,-71,3C:46:A1:6D:9B:B4
3598754,1,356,-78,3C:46:A1:6D:93:93
3598754,1,364,-78,3C:46:A1:6D:93:94
3598784,1,119,-79,08:65:F0:DA:4D:63
3598794,1,350,-82,3C:46:A1:6D:96:A3
3598804,1,340,-72,3C:46:A1:6D:8B:F2
3598804,1,356,-71,3C:46:A1:6D:8B:F3
3598804,1,364,-71,3C:46:A1:6D:8B:F4
3598814,1,350,-81,3C:46:A1:6D:96:A3
3598824,1,340,-71,3C:46:A1:6D:9B:B2
3598824,1,356,-72,3C:46:A1:6D:9B:B3
3598824,1,364,-71,3C:46:A1:6D:9B:B4
3598824,1,350,-80,3C:46:A1:6D:8B:33
3598854,1,356,-78,3C:46:A1:6D:93:93
3598904,1,340,-72,3C:46:A1:6D:8B:F2
3598904,1,356,-71,3C:46:A1:6D:8B:F3
3598904,1,364,-72,3C:46:A1:6D:8B:F4
3598924,1,340,-72,3C:46:A1:6D:9B:B2
3598924,1,356,-72,3C:46:A1:6D:9B:B3
3598924,1,364,-71,3C:46:A1:6D:9B:B4
3598924,1,356,-77,3C:46:A1:70:A0:B3
3598954,1,356,-79,3C:46:A1:6D:96:A3
3598984,1,119,-78,08:65:F0:DA:4D:63
3599004,1,340,-71,3C:46:A1:6D:8B:F2
3599004,1,356,-71,3C:46:A1:6D:8B:F3
3599004,1,364,-71,3C:46:A1:6D:8B:F4
3599024,1,340,-73,3C:46:A1:6D:9B:B2
3599024,1,356,-72,3C:46:A1:6D:9B:B3
3599074,1,356,-82,3C:46:A1:6D:93:93
3599084,1,119,-76,08:65:F0:DA:4D:63
3599104,1,356,-79,3C:46:A1:6D:8B:33
3599114,1,340,-72,3C:46:A1:6D:8B:F2
3599114,1,356,-72,3C:46:A1:6D:8B:F3
3599114,1,364,-71,3C:46:A1:6D:8B:F4
3599124,1,340,-73,3C:46:A1:6D:9B:B2
3599124,1,356,-73,3C:46:A1:6D:9B:B3
